계약년월, 거래금액(만원), 전용면적, 월별3.3면적당거래금액(만원), 거래량
201701,24213350,17920.1982,4459,209
201702,42639520,31538.43140000001,4462,359
201703,65458465,49263.01730000009,4385,548
201704,72681907,53890.64550000009,4451,606
201705,140874029,101177.89559999971,4595,1189
201706,86638650,64491.29890000002,4433,716
201707,130162526,92977.10619999988,4620,1011
201708,31274400,22576.0574,4571,233
201709,59841150,42517.19180000004,4645,474
201710,59795448,41173.94070000009,4792,445
201711,107352378,71795.13900000001,4934,749
201712,99863727,66193.89830000013,4979,687
201801,116844990,76928.32710000011,5012,794
201802,51504550,34586.225399999974,4914,356
201803,47641250,30604.708599999998,5137,334
201804,19170750,12106.777400000003,5225,134
201805,19772580,12823.9702,5088,139
201806,21937350,13702.2732,5283,140
201807,46124650,26727.725499999997,5695,297
201808,120229250,67504.63400000003,5877,728
201809,52870925,30313.871399999964,5756,309
201810,20516167,12260.850599999994,5522,136
201811,10811700,6609.699899999996,5398,70
201812,11851817,7885.4406,4960,80
201901,13153390,8018.521999999999,5413,76
201902,7569800,4375.0779999999995,5710,49
201903,23196499,13030.431900000003,5875,149
201904,39959000,21251.1602,6205,231
201905,67560650,35346.050100000015,6308,389
201906,106394867,55329.98810000011,6346,593
201907,121558300,62832.86160000004,6384,668
201908,66277525,33145.282499999994,6599,362
201909,93293273,45548.236600000084,6759,500
201910,130404450,65929.68620000007,6527,698
201911,98144303,48753.947900000036,6643,533
201912,64447550,32310.98329999997,6582,375
202001,20333150,11397.558899999998,5887,131
202002,39114397,19173.910000000007,6732,242
202003,25143600,12755.1531,6505,148
202004,30594350,15354.460499999992,6575,158
202005,58671833,29866.49819999996,6483,343
202006,150067569,72075.1199,6871,824
202007,65188049,32646.808699999965,6589,382
202008,47484120,22063.895099999994,7102,238
202009,34293055,16346.227300000002,6923,181
202010,38057642,18232.07149999998,6888,203
202011,76922784,34637.77909999998,7329,390
202012,97751918,44082.702000000005,7318,476
202101,63942409,28686.861199999996,7356,320
202102,48775620,21116.28899999999,7623,219
202103,36175260,16382.94079999999,7287,174
202104,52581700,22425.033399999993,7738,238
202105,47942504,21059.224099999974,7513,255
202106,33076662,13882.598199999995,7863,169
202107,43817620,17660.890200000005,8187,211
202108,39214361,16293.925399999991,7942,199
202109,30726510,12331.8383,8222,147
202110,27231222,10309.602799999997,8716,129
202111,24433220,10212.786999999995,7895,112
202112,16755900,6488.672599999999,8522,70
202201,12050603,5005.642299999999,7944,57
202202,13000283,5334.451099999998,8042,64
202203,17521350,7143.672299999997,8094,83
202204,4210420,1804.9198000000001,7698,19
